"track_name","track_artist","track_popularity","track_album_release_date","playlist_genre","playlist_subgenre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","skip_percentage","intentional_percentage","unintentional_percantage","finished_percentage","listens","playing_time_percentage"
"My Way","Calvin Harris",77,"2016-09-16","pop","dance pop",0.819,0.913,4,-3.059,0,0.0427,0.0935,3.72e-05,0.161,0.536,119.989,219160,0.0421052631578947,0.0947368421052632,0.905263157894737,0.4,95,0.76885740770982
"I Love You","Axwell /\ Ingrosso",7,"2017-02-10","pop","dance pop",0.654,0.859,0,-4.321,1,0.166,0.336,0,0.0947,0.704,114.87,191000,0.0512820512820513,0.0256410256410256,0.974358974358974,0.461538461538462,39,0.37639253591086
"Counting Stars","OneRepublic",80,"2013-01-01","pop","dance pop",0.664,0.705,1,-4.972,0,0.0382,0.0654,0,0.118,0.477,122.016,257267,0.147058823529412,0.0294117647058824,0.970588235294118,0.441176470588235,34,0.421492182875241
"If I Lose Myself - Alesso vs OneRepublic","OneRepublic",44,"2013-01-01","pop","dance pop",0.518,0.783,2,-4.88,1,0.0406,0.215,9.53e-06,0.14,0.152,125.985,214067,0.0967741935483871,0.0645161290322581,0.935483870967742,0.32258064516129,31,0.358026135019229
"Now That I've Found You","Martin Garrix",57,"2016-03-11","pop","dance pop",0.495,0.831,5,-5.812,0,0.0319,0.021,4.79e-05,0.495,0.414,128.064,192632,0.0238095238095238,0.142857142857143,0.857142857142857,0.547619047619048,42,0.776886078365064
"On My Way","Alan Walker",83,"2019-03-21","pop","dance pop",0.509,0.689,1,-4.929,0,0.102,0.0209,0,0.301,0.297,170.087,193798,0.0434782608695652,0.0434782608695652,0.956521739130435,0.304347826086957,23,0.368043462556485
"17","MK",69,"2017-09-01","pop","dance pop",0.703,0.832,0,-7.202,0,0.0689,0.00149,0.127,0.0696,0.667,122.029,196489,0.032258064516129,0.0967741935483871,0.903225806451613,0.32258064516129,31,0.340022481764144
"Photograph","Ljung",45,"2019-12-06","pop","dance pop",0.735,0.567,4,-8.211,1,0.0382,0.285,6.31e-05,0.145,0.494,107.983,212440,0.256756756756757,0.0810810810810811,0.918918918918919,0.283783783783784,74,0.312530660485377
"I Don't Know","Ericé",47,"2019-11-29","pop","dance pop",0.699,0.872,6,-4.218,1,0.0568,0.036,0.0024,0.327,0.449,105.054,195429,0,0.05,0.95,0.55,60,1.04277870735664
"Alive","henrikz",37,"2019-10-18","pop","dance pop",0.641,0.773,0,-5.329,1,0.0345,0.0134,6.99e-06,0.466,0.372,115.014,163842,0.125,0.1,0.9,0.35,40,0.424467017004187
"Amsterdam","Frans",44,"2019-09-20","pop","dance pop",0.845,0.673,4,-5.513,0,0.064,0.0792,1.47e-05,0.0878,0.914,109.993,177761,0.0555555555555556,0.0555555555555556,0.944444444444444,0.444444444444444,36,0.642850825296637
"Hold On","Foxa",45,"2019-08-09","pop","dance pop",0.747,0.866,7,-4.409,1,0.0373,0.208,0.0627,0.0704,0.327,122.999,143415,0.0206185567010309,0.103092783505155,0.896907216494845,0.505154639175258,97,1.04032749022284
"Closer","Haze & Mellow",38,"2019-08-02","pop","dance pop",0.738,0.774,1,-6.42,1,0.0345,0.131,0,0.0931,0.207,99.996,162117,0.0619469026548673,0.0707964601769911,0.929203539823009,0.407079646017699,113,0.742491452010978
"Memories","Maroon 5",98,"2019-09-20","pop","dance pop",0.764,0.32,11,-7.209,1,0.0546,0.837,0,0.0822,0.575,91.019,189486,0.0125,0.35,0.65,0.4125,80,0.845411534361378
"Qué Bonito Es Querer","Manuel Carrasco",72,"2018-12-07","pop","dance pop",0.609,0.718,11,-7.177,1,0.045,0.6,0,0.082,0.426,93.94,270188,0.116279069767442,0.186046511627907,0.813953488372093,0.581395348837209,43,0.854642555519482
"Runaway","Sebastian Yatra",80,"2019-06-21","pop","dance pop",0.756,0.851,2,-3.33,1,0.0674,0.0336,0,0.126,0.934,75.014,200693,0.0172413793103448,0.0172413793103448,0.982758620689655,0.344827586206897,58,1.1132560161798
"Gravity","Elizabeth Grace",38,"2018-08-02","pop","dance pop",0.722,0.412,7,-10.864,1,0.042,0.815,0.000198,0.163,0.393,107.07,202710,0.0196078431372549,0.0588235294117647,0.941176470588235,0.5,102,0.801547656702659
"Paradise","Matthew Parker",32,"2018-10-26","pop","dance pop",0.54,0.552,5,-7.702,1,0.031,0.0494,6.21e-06,0.332,0.456,114.978,227080,0.0857142857142857,0.0285714285714286,0.971428571428571,0.342857142857143,35,0.330115755303354
"I'm Yours","Influencers Worship",0,"2018-07-06","pop","dance pop",0.559,0.844,11,-6.397,0,0.0557,0.000186,0.000994,0.169,0.357,127.995,205280,0,0,1,0.411764705882353,34,0.331593146806657
"Good Life","The Young Escape",47,"2017-10-20","pop","dance pop",0.587,0.715,4,-6.348,0,0.0931,0.0539,0,0.262,0.433,178.081,185427,0,0,1,0.34375,32,0.350060603364127
"Time","Brieuc",30,"2019-11-01","pop","dance pop",0.608,0.84,5,-5.824,1,0.0397,0.011,0.273,0.344,0.294,125.025,205938,0.0303030303030303,0.0606060606060606,0.93939393939394,0.484848484848485,33,0.939218393767821
"Madness","Matt Strike",20,"2018-10-26","pop","dance pop",0.682,0.609,7,-5.458,0,0.0435,0.0426,2.52e-05,0.0994,0.283,95.052,202105,0,0.0517241379310345,0.948275862068966,0.431034482758621,58,0.776153569883869
"Someone New","Quentyn",45,"2019-11-22","pop","dance pop",0.588,0.627,5,-7.249,0,0.0453,0.0149,0.105,0.375,0.39,112.018,182143,0.09375,0.03125,0.96875,0.40625,32,0.484193737887264
"Smile","Prince Paris",39,"2019-04-26","pop","dance pop",0.776,0.598,11,-5.102,1,0.19,0.151,2.05e-05,0.0858,0.419,117.105,221549,0.0333333333333333,0.0333333333333333,0.966666666666667,0.483333333333333,60,0.49478678155472
"Hannah Hunt","Vampire Weekend",62,"2013-05-27","pop","dance pop",0.345,0.313,4,-10.098,1,0.0681,0.717,0.000822,0.1,0.164,207.969,237973,0,0.132075471698113,0.867924528301887,0.358490566037736,53,0.448756078162982
"Royals","Lorde",78,"2013-01-01","pop","dance pop",0.674,0.428,7,-9.504,1,0.122,0.121,0,0.132,0.337,84.878,190185,0.05,0.05,0.95,0.2,20,0.403840471120225
"Midnight City","M83",71,"2011","pop","dance pop",0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,241440,0.0384615384615385,0.0769230769230769,0.923076923076923,0.269230769230769,26,0.231262903349136
"Wildfire","SBTRKT",62,"2011-06-27","pop","dance pop",0.835,0.481,0,-7.188,0,0.387,0.0308,0.000501,0.0896,0.34,139.581,201000,0.027027027027027,0.045045045045045,0.954954954954955,0.486486486486487,111,0.701581775805656
"Feels Like We Only Go Backwards","Tame Impala",75,"2012-01-01","pop","dance pop",0.303,0.9,2,-2.352,0,0.0574,0.0277,0.635,0.11,0.491,149.508,192960,0.0454545454545455,0.0303030303030303,0.96969696969697,0.560606060606061,66,0.654737753781597
"Lucky","Choker",63,"2019-02-08","pop","dance pop",0.477,0.328,4,-8.458,1,0.0658,0.906,7.36e-06,0.262,0.283,174.143,251034,0.142857142857143,0,1,0.428571428571429,35,0.344214272625563
"Berlin","Tom Goss",37,"2019-11-13","pop","dance pop",0.647,0.325,0,-13.512,1,0.0278,0.409,0.000498,0.126,0.0961,138.007,241853,0,0.125,0.875,0.583333333333333,24,0.796749816348498
"Someone Like You","Adele",79,"2011-01-19","pop","dance pop",0.554,0.321,9,-8.251,1,0.028,0.893,0,0.0996,0.288,135.047,285240,0,0,1,0.357142857142857,28,0.321547393673498
"Shape of You","Ed Sheeran",86,"2017-03-03","pop","dance pop",0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,0.0555555555555556,0.111111111111111,0.888888888888889,0.555555555555556,36,0.326927565955776
"Happy","ØMG",50,"2020-01-03","pop","dance pop",0.806,0.715,0,-6.092,1,0.228,0.218,0,0.118,0.604,124.943,160320,0.157894736842105,0.0175438596491228,0.982456140350877,0.368421052631579,57,0.477335460657632
"Halo","Beyoncé",77,"2008-11-14","pop","dance pop",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,261640,0.032258064516129,0,1,0.548387096774194,31,0.382141677064274
"Nothing","Paul Butcher",40,"2019-11-15","pop","dance pop",0.71,0.636,10,-4.161,0,0.0397,0.0278,0,0.126,0.505,125.865,182426,0.0588235294117647,0.0588235294117647,0.941176470588235,0.352941176470588,34,0.508425334108077
"Story of My Life","One Direction",80,"2013-11-25","pop","dance pop",0.6,0.663,3,-5.802,1,0.0477,0.225,0,0.119,0.286,121.07,245493,0,0.032258064516129,0.967741935483871,0.483870967741935,31,0.78169957674373
"Set Fire to the Rain","Adele",74,"2011-01-19","pop","dance pop",0.603,0.67,2,-3.882,0,0.0249,0.00408,1.66e-06,0.112,0.445,107.995,242974,0.037037037037037,0.037037037037037,0.962962962962963,0.333333333333333,27,0.364022030706532
"Malibu","Miley Cyrus",21,"2017-05-11","pop","dance pop",0.565,0.782,8,-6.413,1,0.0506,0.0577,4.16e-05,0.0757,0.4,140.004,231906,0.0810810810810811,0.540540540540541,0.45945945945946,0.324324324324324,37,0.93236495402028
"Hey, Soul Sister","Train",27,"2009-08-06","pop","dance pop",0.675,0.885,1,-4.432,0,0.0436,0.217,0,0.086,0.768,97.03,216667,0.0238095238095238,0,1,0.261904761904762,42,0.328847516058766
"Radioactive","Imagine Dragons",16,"2012-09-04","pop","dance pop",0.473,0.777,9,-3.698,1,0.059,0.119,7.87e-05,0.671,0.21,136.249,186813,0.189189189189189,0.0810810810810811,0.918918918918919,0.45945945945946,37,0.491197513455065
"Payphone","Maroon 5",78,"2012-01-01","pop","dance pop",0.743,0.752,4,-4.813,1,0.0414,0.0188,0,0.287,0.545,110.015,231173,0.0357142857142857,0.0714285714285714,0.928571428571429,0.178571428571429,28,0.228462635589549
"Mamma Mia","Tokyo Tav",17,"2019-11-29","pop","dance pop",0.691,0.939,9,-4.06,0,0.279,0.0202,1.08e-05,0.558,0.794,124.753,172810,0.0344827586206897,0.137931034482759,0.862068965517241,0.758620689655172,29,1.04818806382932
"Beautiful People (feat. Khalid)","Ed Sheeran",85,"2019-07-12","pop","post-teen pop",0.64,0.648,5,-8.113,0,0.187,0.124,0,0.0802,0.548,92.977,197867,0,0.142857142857143,0.857142857142857,0.428571428571429,49,0.684525257792727
"I Don't Care (with Justin Bieber)","Ed Sheeran",84,"2019-07-12","pop","post-teen pop",0.798,0.675,6,-5.041,1,0.0442,0.0912,0,0.0894,0.842,101.956,219947,0.0434782608695652,0.0434782608695652,0.956521739130435,0.391304347826087,23,0.678314795599968
"Happier","Marshmello",89,"2018-08-17","pop","post-teen pop",0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290,0.0555555555555556,0,1,0.5,72,0.498234998262998
"Complicated","Avril Lavigne",77,"2002-06-04","pop","post-teen pop",0.585,0.776,5,-5.898,1,0.0459,0.0572,7.74e-06,0.3,0.427,77.987,244507,0,0.0434782608695652,0.956521739130435,0.478260869565217,23,0.368830553619786
"I'm a Mess","Bebe Rexha",80,"2018-06-22","pop","post-teen pop",0.63,0.694,11,-6.257,0,0.0253,0.00281,0,0.0719,0.216,97.005,195519,0.0476190476190476,0,1,0.380952380952381,21,0.44858239328342
"Gold","Victoria Justice",43,"2013-06-18","pop","post-teen pop",0.662,0.859,7,-3.722,1,0.0522,0.000439,0,0.209,0.405,91.936,193653,0.1,0,1,0.366666666666667,30,0.41474579101107
"Who Says","Selena Gomez & The Scene",74,"2011-01-01","pop","post-teen pop",0.682,0.927,4,-2.915,1,0.0479,0.0843,0,0.149,0.744,101.019,195613,0.0454545454545455,0.0606060606060606,0.93939393939394,0.606060606060606,66,0.584694284277134
"Magic","Selena Gomez",47,"2009-01-01","pop","post-teen pop",0.602,0.922,11,-3.061,0,0.0386,0.00632,0,0.284,0.396,104.101,169733,0.0588235294117647,0.0196078431372549,0.980392156862745,0.490196078431373,51,0.855688224515944
"Fire","Matthew ""Mdot"" Finley",40,"2010-01-01","pop","post-teen pop",0.71,0.946,8,-4.431,0,0.078,0.123,0,0.203,0.681,120.089,182227,0.12,0,1,0.16,25,0.29668534300625
"Daylight","Matt and Kim",10,"2009","pop","post-teen pop",0.583,0.79,9,-4.885,1,0.0319,0.0851,0.000387,0.11,0.714,103.286,171333,0.0350877192982456,0.0175438596491228,0.982456140350877,0.385964912280702,57,0.377438170317964
"Unwritten","Natasha Bedingfield",76,"2004-08-30","pop","post-teen pop",0.706,0.801,5,-6.333,1,0.0399,0.00577,0,0.0822,0.63,100.013,259333,0.0384615384615385,0.0769230769230769,0.923076923076923,0.730769230769231,26,0.783010943162177
"Demons","Imagine Dragons",72,"2012-09-04","pop","post-teen pop",0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.329,0.428,89.938,175200,0.09375,0.015625,0.984375,0.453125,64,0.638204462756849
"Pompeii","Bastille",70,"2013-01-01","pop","post-teen pop",0.679,0.715,9,-6.383,1,0.0407,0.0755,0,0.271,0.571,127.435,214148,0.0810810810810811,0,1,0.405405405405405,37,0.405194008286262
"It's Time","Imagine Dragons",66,"2012-09-04","pop","post-teen pop",0.656,0.884,2,-4.748,1,0.0372,0.0162,0,0.145,0.86,105.009,237987,0,0,1,0.413793103448276,29,0.419207916746539
"Underdog","You Me At Six",55,"2010-01-01","pop","post-teen pop",0.381,0.961,1,-3.614,1,0.0868,0.000949,0.000294,0.0531,0.787,156.068,143080,0.0303030303030303,0.0606060606060606,0.93939393939394,0.333333333333333,33,0.525408120907142
"Dear Maria, Count Me In","All Time Low",0,"2008-08-04","pop","post-teen pop",0.455,0.891,2,-3.131,1,0.0869,0.00725,0,0.237,0.595,181.011,182827,0,0.0294117647058824,0.970588235294118,0.441176470588235,34,0.441903451639753
"The Great Escape","Boys Like Girls",51,"2006-08-22","pop","post-teen pop",0.423,0.94,1,-4.012,0,0.0635,0.00166,0,0.178,0.505,149.934,206520,0,0,1,0.375,24,0.418175802182194
"All the Pretty Girls","fun.",42,"2009","pop","post-teen pop",0.646,0.787,0,-4.654,1,0.0602,0.258,0,0.199,0.773,131.036,202893,0.0454545454545455,0.0454545454545455,0.954545454545455,0.545454545454545,22,0.732071270884833
"What's My Age Again?","blink-182",13,"1999-01-01","pop","post-teen pop",0.398,0.954,6,-7.373,1,0.0715,0.0133,0.000218,0.0891,0.433,157.766,148573,0.0303030303030303,0,1,0.545454545454545,33,0.479146359844737
"All The Small Things","blink-182",17,"1999-01-01","pop","post-teen pop",0.442,0.893,0,-4.878,1,0.0505,0.00844,0,0.529,0.712,148.119,168000,0.0263157894736842,0.0263157894736842,0.973684210526316,0.421052631578947,38,0.549031015037594
"Bad Liar","Selena Gomez",73,"2017-05-18","pop","post-teen pop",0.965,0.414,1,-6.408,1,0.0713,0.189,0,0.0767,0.728,121.032,214648,0,0.04,0.96,0.6,25,0.630757705639
"Hey There Delilah","Plain White T's",80,"2005-01-01","pop","post-teen pop",0.657,0.291,2,-10.572,1,0.0293,0.872,0,0.114,0.298,103.973,232533,0,0.25,0.75,0.55,20,0.998428180086267
"Shut Up and Dance","WALK THE MOON",82,"2014-12-02","pop","post-teen pop",0.578,0.866,1,-3.804,1,0.0619,0.00701,0,0.257,0.619,128.038,199080,0.234042553191489,0.0425531914893617,0.957446808510638,0.340425531914894,47,0.445776208858622
"I Want It That Way","Backstreet Boys",76,"2001-10-23","pop","post-teen pop",0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,213600,0.230769230769231,0.230769230769231,0.769230769230769,0.615384615384615,26,0.776295375972342
"Sugar","Maroon 5",12,"2014-09-02","pop","post-teen pop",0.744,0.783,1,-7.077,1,0.0337,0.0553,0,0.086,0.885,120.042,235493,0.2,0.133333333333333,0.866666666666667,0.311111111111111,45,0.434886906286905
"Best Day Of My Life","American Authors",76,"2014-01-01","pop","post-teen pop",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,0.0810810810810811,0.027027027027027,0.972972972972973,0.405405405405405,37,0.41181778462977
"Take Me To Church","Hozier",80,"2014-07-20","pop","post-teen pop",0.566,0.664,4,-5.303,0,0.0464,0.634,0,0.116,0.437,128.945,241688,0.05,0.0166666666666667,0.983333333333333,0.466666666666667,60,0.650588637692673
"Without Me","Halsey",88,"2018-10-04","pop","post-teen pop",0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,0.05,0.1,0.9,0.75,20,1.11736652104274
"Baby","Justin Bieber",76,"2010-01-01","pop","post-teen pop",0.728,0.86,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,214240,0.05,0.05,0.95,0.5,20,0.513675784167289
"Cough Syrup","Young the Giant",70,"2011","pop","post-teen pop",0.534,0.721,11,-7.307,0,0.0417,0.0343,6.24e-06,0.115,0.225,128.978,249520,0,0,1,0.483870967741935,31,0.687731541333554
"Thnks fr th Mmrs","Fall Out Boy",76,"2007-01-01","pop","post-teen pop",0.459,0.891,10,-5.057,0,0.0623,0.00511,0,0.106,0.588,154.837,203507,0.037037037037037,0.037037037037037,0.962962962962963,0.62962962962963,27,0.550457177831175
"Alone Together","Fall Out Boy",60,"2013-01-01","pop","post-teen pop",0.552,0.915,4,-3.713,1,0.0559,0.0013,3.74e-05,0.206,0.606,90.013,203413,0.224489795918367,0.0204081632653061,0.979591836734694,0.326530612244898,49,0.311673034362482
"Viva La Vida","Coldplay",78,"2008-05-26","pop","post-teen pop",0.485,0.619,5,-7.115,0,0.0289,0.0941,3.31e-06,0.109,0.416,138.017,242373,0.0208333333333333,0.0208333333333333,0.979166666666667,0.5625,48,0.666186260433299
"Thunder","Imagine Dragons",11,"2017-06-23","pop","post-teen pop",0.601,0.809,0,-4.814,1,0.0441,0.00763,0.0757,0.145,0.249,167.96,187147,0.0357142857142857,0.0357142857142857,0.964285714285714,0.553571428571429,56,0.792936454078498
"Believer","Imagine Dragons",9,"2017-06-23","pop","post-teen pop",0.784,0.78,10,-4.275,0,0.102,0.0492,0,0.118,0.722,124.953,204347,0,0.0943396226415094,0.905660377358491,0.471698113207547,53,0.609699317411532
"Holiday","Green Day",67,"2017-11-17","pop","post-teen pop",0.552,0.89,8,-3.409,1,0.0342,0.000143,0,0.888,0.716,146.525,232680,0.0810810810810811,0.0540540540540541,0.945945945945946,0.45945945945946,37,0.335450729223292
"You're Gonna Go Far, Kid","The Offspring",77,"2008-06-17","pop","post-teen pop",0.55,0.917,0,-3.159,1,0.0638,0.00428,0,0.197,0.601,126.115,177827,0.0476190476190476,0.0476190476190476,0.952380952380952,0.523809523809524,21,0.552714020876898
"Basket Case","Green Day",79,"1994-02-01","pop","post-teen pop",0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71e-06,0.091,0.781,85.064,181533,0,0.159090909090909,0.840909090909091,0.613636363636364,44,0.946774641024447
"Escape (The Pina Colada Song)","Rupert Holmes",71,"1979-01-01","pop","post-teen pop",0.836,0.509,0,-13.668,1,0.0548,0.467,4.1e-06,0.0436,0.949,138.713,276493,0.0169491525423729,0.0169491525423729,0.983050847457627,0.728813559322034,59,0.778337110566504
"American Idiot","Green Day",78,"2004-09-21","pop","post-teen pop",0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,176346,0,0.0222222222222222,0.977777777777778,0.444444444444444,45,0.5425999644638
"Sweet Home Alabama","Lynyrd Skynyrd",27,"1974-04-15","pop","post-teen pop",0.597,0.605,7,-12.013,1,0.0255,0.181,0.000331,0.118,0.886,97.782,281147,0.0232558139534884,0.0232558139534884,0.976744186046512,0.488372093023256,43,0.528524803005893
"Immigrant Song - Remaster","Led Zeppelin",77,"1970","pop","post-teen pop",0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250,0,0.0857142857142857,0.914285714285714,0.314285714285714,35,0.545795750915751
"21 Guns","Green Day",75,"2009-05-15","pop","post-teen pop",0.268,0.742,5,-4.939,1,0.0355,0.0518,0,0.626,0.416,159.779,321093,0.025,0.075,0.925,0.375,40,0.365695608437431
"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy",68,"2013-01-01","pop","post-teen pop",0.558,0.924,9,-4.341,0,0.064,0.0271,3.32e-06,0.537,0.567,151.99,186827,0.05,0,1,0.3,20,0.321486990638398
"Whatever It Takes","Imagine Dragons",81,"2017-06-23","pop","post-teen pop",0.672,0.655,10,-5.021,0,0.0311,0.0362,0,0.117,0.556,134.945,201240,0.0166666666666667,0.05,0.95,0.433333333333333,60,0.506452328894189
"Somebody Told Me","The Killers",69,"2004-06-15","pop","post-teen pop",0.509,0.987,10,-3.198,0,0.0886,8.05e-05,0.000928,0.119,0.647,138.039,197160,0,0,1,0.73134328358209,67,0.726272547790566
"Stacy's Mom","Fountains Of Wayne",73,"2003-01-01","pop","post-teen pop",0.774,0.75,11,-4.927,0,0.0413,0.0021,1.85e-05,0.0808,0.925,118.015,197987,0,0.0512820512820513,0.948717948717949,0.282051282051282,39,0.343042725027401
"Fortunate Son","Creedence Clearwater Revival",80,"1969-11-02","pop","post-teen pop",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,0.0350877192982456,0.0526315789473684,0.947368421052632,0.526315789473684,57,0.604783787162136
"Thriller","Michael Jackson",68,"2017-09-27","pop","post-teen pop",0.764,0.887,11,-3.725,1,0.0738,0.0816,0.000108,0.847,0.721,118.421,358053,0.08,0,1,0.44,25,0.370264290482135
"Seven Nation Army","The White Stripes",15,"2003-04-01","pop","post-teen pop",0.75,0.462,0,-7.664,1,0.0779,0.00576,0.545,0.307,0.309,123.865,231800,0.0178571428571429,0.142857142857143,0.857142857142857,0.357142857142857,56,0.782216042154567
"I'm Gonna Be (500 Miles)","The Proclaimers",74,"2003-09-01","pop","post-teen pop",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,219467,0,0.0483870967741935,0.951612903225806,0.403225806451613,62,0.511949698661434
"Some Nights","fun.",70,"2012-02-21","pop","post-teen pop",0.672,0.738,0,-7.045,1,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040,0.027027027027027,0.027027027027027,0.972972972972973,0.432432432432432,37,0.548473339785064
"Thunderstruck","AC/DC",81,"1990-09-24","pop","post-teen pop",0.501,0.889,4,-5.175,1,0.0364,0.000147,0.0114,0.217,0.257,133.519,292880,0,0.0535714285714286,0.946428571428571,0.482142857142857,56,0.612756016603582
"Animal","Neon Trees",68,"2010-01-01","pop","post-teen pop",0.482,0.833,5,-5.611,1,0.0449,0.000346,0,0.365,0.74,148.039,212293,0.0666666666666667,0.133333333333333,0.866666666666667,0.366666666666667,30,0.534542354199149
"Piano Man","Billy Joel",70,"2001-10-02","pop","post-teen pop",0.334,0.472,0,-8.792,1,0.0277,0.6,3.77e-06,0.317,0.431,179.167,336093,0.0338983050847458,0.0338983050847458,0.966101694915254,0.440677966101695,59,0.534792251559508
"More Than a Feeling","Boston",78,"1976","pop","post-teen pop",0.377,0.682,7,-8.039,1,0.0299,0.000894,0.00217,0.0504,0.288,108.736,285133,0,0.037037037037037,0.962962962962963,0.518518518518518,27,0.467624919936648
"Paradise City","Guns N' Roses",16,"1987-01-01","pop","post-teen pop",0.274,0.949,11,-8.642,1,0.0896,0.0214,0.00778,0.218,0.497,100.346,406307,0.115384615384615,0.0769230769230769,0.923076923076923,0.538461538461538,52,0.3963354916735
"Back In Black","AC/DC",83,"1980-07-25","pop","post-teen pop",0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,0.0144927536231884,0.0434782608695652,0.956521739130435,0.492753623188406,69,0.540316456669138
"Perfect","Brooke Alexx",26,"2019-09-05","pop","post-teen pop",0.859,0.557,7,-5.907,0,0.053,0.289,8.13e-05,0.12,0.56,121.977,142859,0.0612244897959184,0.112244897959184,0.887755102040816,0.489795918367347,98,0.909205966036727
"Flares","The Script",59,"2014-09-12","pop","post-teen pop",0.292,0.351,0,-9.883,0,0.0351,0.408,0,0.055,0.0658,164.252,229320,0.0344827586206897,0.0344827586206897,0.96551724137931,0.344827586206897,29,0.261355160985703
"Mean It","Lauv",85,"2019-11-14","pop","post-teen pop",0.746,0.45,7,-8.543,1,0.0872,0.0407,0,0.172,0.336,95.998,232853,0.0238095238095238,0.214285714285714,0.785714285714286,0.523809523809524,42,0.873224942856857
"Misery","Cashae",27,"2019-09-20","pop","post-teen pop",0.879,0.414,9,-5.514,0,0.107,0.0483,0.000413,0.0808,0.721,139.992,161318,0,0.0163934426229508,0.983606557377049,0.311475409836066,61,0.480474163748255
"I'm Just a Kid","Simple Plan",70,"2018-04-06","pop","post-teen pop",0.527,0.834,1,-5.531,1,0.0447,0.00107,0.000102,0.0993,0.422,110.065,198333,0,0.0666666666666667,0.933333333333333,0.4,30,0.564546326968617
